"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"58","PBX1.2",3.24739227108515e-252,0.59073391608002,0.621,0.458,8.36885462181355e-248,"hCT","PBX1"
"59","TSHZ2.2",0,0.588945369654413,0.397,0.201,0,"hCT","TSHZ2"
"60","IRX2.2",8.14014513476728e-160,0.582125633051718,0.234,0.113,2.09779680268088e-155,"hCT","IRX2"
"61","COL21A1.2",8.8969218176216e-247,0.579865716357069,0.206,0.069,2.29282572161926e-242,"hCT","COL21A1"
"62","SEPTIN11.1",0,0.576940178369462,0.789,0.658,0,"hCT","SEPTIN11"
"63","GMDS.1",1.63851509031881e-120,0.573001503303001,0.526,0.417,4.22261723926061e-116,"hCT","GMDS"
"64","MEIS1.2",0,0.566776801392577,0.319,0.124,0,"hCT","MEIS1"
"65","ZNF503.2",0,0.560919066846308,0.481,0.275,0,"hCT","ZNF503"
"66","EVA1B.1",0,0.560242743002672,0.692,0.477,0,"hCT","EVA1B"
"67","ID2",1.96331036478062e-91,0.558544531436327,0.418,0.321,5.05964714107614e-87,"hCT","ID2"
"68","NRP2.2",7.40204977012426e-239,0.556201541303732,0.358,0.186,1.90758224625872e-234,"hCT","NRP2"
"69","QPRT.1",8.73121598328324e-276,0.554388141459108,0.64,0.479,2.25012167105192e-271,"hCT","QPRT"
"70","ITM2C.1",0,0.549373686540598,0.887,0.734,0,"hCT","ITM2C"
"71","FOXC1.1",2.08189117278857e-192,0.545029958776746,0.606,0.476,5.36524174139342e-188,"hCT","FOXC1"
"72","COLEC12.1",6.9205649321863e-196,0.530250367785078,0.304,0.161,1.78349878867373e-191,"hCT","COLEC12"
"73","HIC1.2",0,0.525183484074828,0.252,0.047,0,"hCT","HIC1"
"74","CCDC80.1",1.19217629752444e-261,0.523548500938292,0.502,0.318,3.07235753635024e-257,"hCT","CCDC80"
"75","DCN",2.07597579145134e-83,0.519835438063938,0.54,0.453,5.34999721214925e-79,"hCT","DCN"
"76","SPARC",3.19125109163746e-253,0.517525094752105,0.763,0.627,8.2241731882589e-249,"hCT","SPARC"
"77","TXNIP.1",1.36051311917473e-210,0.514168427758513,0.468,0.31,3.50617835942521e-206,"hCT","TXNIP"
"78","MEOX2.2",0,0.513787021490985,0.274,0.081,0,"hCT","MEOX2"
"79","BMP5.2",0,0.511322845482776,0.274,0.095,0,"hCT","BMP5"
"80","NR2F1.2",2.6569562497606e-143,0.509165672330089,0.494,0.361,6.84724195125805e-139,"hCT","NR2F1"
"81","MAGED2",0,0.50803179653517,0.953,0.868,0,"hCT","MAGED2"
"82","MAFB.2",0,0.505900267997487,0.247,0.078,0,"hCT","MAFB"
"83","FAP.2",2.31775110115702e-304,0.504817183978589,0.35,0.159,5.97307636279175e-300,"hCT","FAP"
"84","ZIC4.2",6.20652023976906e-239,0.490516222021927,0.222,0.082,1.59948233099088e-234,"hCT","ZIC4"
"85","MXRA5.2",0,0.488014413321803,0.277,0.1,0,"hCT","MXRA5"
"86","MYL9.1",7.16922003093205e-184,0.48755236196651,0.302,0.162,1.8475796941715e-179,"hCT","MYL9"
"87","FOXD1.1",1.02215495435966e-173,0.484066717030622,0.52,0.368,2.63419553288028e-169,"hCT","FOXD1"
"88","AFF3.1",7.54833029989245e-200,0.483724140581547,0.447,0.291,1.94528020158528e-195,"hCT","AFF3"
"89","EPHA7.2",1.67771903204226e-273,0.476875548508411,0.242,0.088,4.32364971747611e-269,"hCT","EPHA7"
"90","NFIA.1",1.42668584683813e-182,0.476483890274476,0.601,0.462,3.67671209588656e-178,"hCT","NFIA"
"91","ALCAM.2",1.97934868446652e-221,0.47614395037372,0.2,0.071,5.10097949473868e-217,"hCT","ALCAM"
"92","HES1.1",8.99334855350297e-197,0.47145981033557,0.358,0.206,2.31767585572325e-192,"hCT","HES1"
"93","PALLD.1",1.01857307787555e-222,0.468571634135582,0.513,0.351,2.62496467899308e-218,"hCT","PALLD"
"94","COL5A1",2.79129425301356e-231,0.467638675530657,0.449,0.275,7.19344441944124e-227,"hCT","COL5A1"
"95","JUN.1",2.18756008292918e-198,0.467029330929857,0.781,0.672,5.63756108971679e-194,"hCT","JUN"
