"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"193","LRIG11",3.35255437200483e-17,0.53619379448453,0.689,0.466,5.06671542241091e-13,3,"LRIG1"
"194","IVNS1ABP",6.43298968430609e-27,0.522665561929625,0.549,0.246,9.72217730989179e-23,3,"IVNS1ABP"
"195","SOX41",1.89032645319736e-25,0.515556760885036,0.979,0.869,2.85685036871718e-21,3,"SOX4"
"196","PTCH2",2.24498556283426e-32,0.48229121402351,0.404,0.125,3.39284668111142e-28,3,"PTCH2"
"197","JUN",1.93151687727543e-13,0.481794075823935,0.817,0.675,2.91910145662636e-09,3,"JUN"
"198","FGFR2",1.90812238381008e-14,0.479860387768747,0.702,0.5,2.88374535865218e-10,3,"FGFR2"
"199","TUBB2B",4.3582220621918e-15,0.467992830970941,0.604,0.377,6.58658100259046e-11,3,"TUBB2B"
"200","FOSB1",1.79123872391861e-11,0.443255794325692,0.613,0.399,2.7070990834582e-07,3,"FOSB"
"201","AC007952.4",8.99589192834104e-24,0.442334432598122,0.298,0.09,1.35954914713018e-19,3,"AC007952.4"
"202","H3F3B",1.19298987590496e-14,0.434392258095899,0.928,0.819,1.80296559945516e-10,3,"H3F3B"
"203","STK26",1.64139926796461e-22,0.425855268393795,0.409,0.159,2.48064671367492e-18,3,"STK26"
"204","FOXF11",2.37599301349386e-15,0.415436239267258,0.66,0.426,3.59083824129328e-11,3,"FOXF1"
"205","ZBTB20",1.28431705921123e-14,0.411501360021574,0.404,0.206,1.94098837158594e-10,3,"ZBTB20"
"206","CASC15",3.18077761377878e-29,0.409076818628555,0.383,0.119,4.80710920770386e-25,3,"CASC15"
"207","PIEZO2",2.65698133074859e-20,0.39823715574326,0.443,0.191,4.01549588516034e-16,3,"PIEZO2"
"208","LIMCH1",1.06163608175344e-15,0.386475426609709,0.634,0.383,1.60445061035397e-11,3,"LIMCH1"
"209","FLRT2",3.38082752846424e-11,0.384900413628697,0.817,0.683,5.10944464376801e-07,3,"FLRT2"
"210","KLF2",2.18432697067075e-34,0.378936941983114,0.289,0.061,3.30117335077471e-30,3,"KLF2"
"211","KCNQ1OT11",7.59910173245872e-11,0.374805968674576,0.94,0.826,1.14845224482649e-06,3,"KCNQ1OT1"
"212","DDX17",2.04790664363666e-12,0.364131983268076,0.919,0.839,3.09500131052809e-08,3,"DDX17"
"213","EGR1",3.69175838955979e-15,0.354158897635842,0.255,0.092,5.57935445414171e-11,3,"EGR1"
"214","AFDN",4.5621616922537e-10,0.348024995709976,0.43,0.258,6.89479496550302e-06,3,"AFDN"
"215","BTG1",7.10483779861183e-13,0.343128466351884,0.477,0.275,1.07375413650421e-08,3,"BTG1"
"216","LUM1",3.06777685927674e-08,0.339110360249382,0.553,0.404,0.000463633116742493,3,"LUM"
"217","ARHGAP33",2.11362925216486e-10,0.334120765221719,0.502,0.317,3.19432788879676e-06,3,"ARHGAP33"
"218","PRICKLE1",1.84750275738164e-14,0.326967762286848,0.421,0.21,2.79213091723087e-10,3,"PRICKLE1"
"219","CCDC68",9.89976192212358e-21,0.32496146659489,0.345,0.123,1.49615101929054e-16,3,"CCDC68"
"220","ID11",3.36830710591128e-07,0.316200470398973,0.719,0.584,0.00509052252916371,3,"ID1"
"221","SULF21",1.23847129685721e-08,0.308090455835009,0.63,0.454,0.00018717016709403,3,"SULF2"
"222","WSB1",7.5437521262188e-08,0.301423303857467,0.77,0.638,0.00114008725883545,3,"WSB1"
"223","IGSF3",1.17281799591467e-07,0.298535227917383,0.472,0.321,0.00177247983722584,3,"IGSF3"
"224","IRF2BP2",3.14287113191445e-07,0.295504346701677,0.455,0.316,0.00474982114166231,3,"IRF2BP2"
"225","TUBA1A1",1.9641206828193e-07,0.29471119116397,0.664,0.515,0.00296837558794481,3,"TUBA1A"
"226","MT-ND5",1.80439449264529e-07,0.293169202644811,0.834,0.764,0.00272698139673483,3,"MT-ND5"
"227","VIM1",3.86190291585134e-10,0.291569986267377,0.97,0.913,5.83649387672613e-06,3,"VIM"
"228","GSN",1.01821826103776e-14,0.286980894161283,0.34,0.148,1.53883325790637e-10,3,"GSN"
"229","TLE4",1.13623818970295e-08,0.285254366963956,0.404,0.245,0.000171719677609806,3,"TLE4"
"230","EFNA1",4.59850619288513e-14,0.284691254138349,0.306,0.128,6.94972240930729e-10,3,"EFNA1"
"231","CCN2",2.47607045986799e-10,0.281674544129163,0.698,0.482,3.7420852859985e-06,3,"CCN2"
"232","TSC22D1",1.5008562382199e-06,0.279983038730394,0.379,0.252,0.0226824403282173,3,"TSC22D1"
"233","COL6A21",2.22593591523014e-05,0.273586285185014,0.689,0.576,0.33640569486873,3,"COL6A2"
"234","MEG31",6.98777883837685e-08,0.267151498294027,0.996,0.953,0.00105606301584389,3,"MEG3"
"235","SNRNP70",1.13517111541509e-05,0.258574188855942,0.668,0.545,0.171558410672683,3,"SNRNP70"
"236","TLE1",1.45309642202221e-08,0.256871099989493,0.528,0.345,0.000219606462260216,3,"TLE1"
"237","CIRBP",1.49993016659791e-06,0.2548918850254,0.847,0.764,0.0226684446077943,3,"CIRBP"
"238","SPAG9",4.84838113786503e-09,0.254684512179396,0.438,0.261,7.32735841365542e-05,3,"SPAG9"
"239","KLF6",5.440506190046e-07,0.254388811294783,0.426,0.276,0.00822223700501651,3,"KLF6"
"240","SPP1",8.62282866363034e-56,4.53538143739583,1,0.034,1.30316809593445e-51,4,"SPP1"
"241","CCN21",2.83866981841019e-06,4.16665184526128,0.889,0.5,0.0429008169656331,4,"CCN2"
"242","SHH",3.0324584224121e-78,3.79326470541159,0.889,0.017,4.5829544137914e-74,4,"SHH"
"243","ALCAM",1.9714640078931e-51,3.64438390850556,1,0.038,2.97947355512885e-47,4,"ALCAM"
"244","KRT19",1.31382006840763e-83,3.59339100210113,1,0.021,1.98557626938445e-79,4,"KRT19"
"245","FN11",4.07753372577192e-09,3.29673553506053,1,0.399,6.1623767197591e-05,4,"FN1"
"246","KRT8",7.93899893050168e-53,2.88474455389359,1,0.036,1.19982090836672e-48,4,"KRT8"
